,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
143,深圳市爱租机科技有限公司,爱租机,150-500人,B轮,南山区,高级java开发工程师,3-5年,本科,18k-22k,五险一金、年度体检、员工团建、调薪激励,移动互联网,开发|测试|运维类,"年底双薪,股票期权,带薪年假,交通补助",后端开发,深圳
144,深圳市顺丰国际物流有限公司,顺丰国际,2000人以上,上市公司,南山区,高级java开发工程师,5-10年,本科,20k-35k,国际业务,其他,开发|测试|运维类,,后端开发,深圳
145,上海阜极科技有限公司,阜坤信息,150-500人,未融资,浦东新区,java开发工程师,1-3年,大专,6k-11k,团队和谐 环境好 同事Nice,"移动互联网,金融",开发|测试|运维类,,后端开发,上海
146,苏州工业园区凌志软件股份有限公司,凌志软件,2000人以上,上市公司,吴中区,java开发工程师,3-5年,本科,10k-17k,上市公司，待遇优渥,金融,开发|测试|运维类,"技能培训,年底双薪,免费班车,带薪年假",后端开发,苏州
147,北京瑞丹金路科技有限公司,瑞丹金路,15-50人,未融资,朝阳区,java工程师,1-3年,本科,15k-25k,地铁周边、带薪年假、五险一金、节日福利,软件开发,开发|测试|运维类,,后端开发,北京
148,北京步峰信息技术有限公司,步峰信息,50-150人,不需要融资,海淀区,java开发工程师,1-3年,本科,10k-16k,环境优美，交通便利,"移动互联网,企业服务",开发|测试|运维类,,后端开发,北京
149,陕西康德曼信息技术有限公司,康德曼,50-150人,未融资,城关区,java开发工程师,3-5年,本科,6k-10k,&nbsp;带薪年假 商业保险,"移动互联网,电商",开发|测试|运维类,,后端开发,兰州
150,广州合摩计算机科技有限公司,爱员工,150-500人,B轮,朝阳区,java开发工程师,3-5年,本科,18k-35k,"创业团队,架构扁平,上升空间大",移动互联网,开发|测试|运维类,,后端开发,北京
151,深圳三代人科技有限公司,三代人科技,150-500人,不需要融资,南山区,高级java开发工程师,5-10年,本科,18k-25k,周末双休，年终奖，千万级用户产品,"移动互联网,医疗丨健康",开发|测试|运维类,"股票期权,绩效奖金,扁平管理,五险一金",后端开发,深圳
152,北京猿力未来科技有限公司,猿辅导,2000人以上,D轮及以上,朝阳区,java开发工程师,3-5年,本科,25k-50k,"精英团队,独角兽公司,扁平化管理","移动互联网,教育",开发|测试|运维类,"股票期权,年底双薪,五险一金,带薪年假",后端开发,北京
